ARESTTYPEID;ARESTTYPE
597;Арестован Баландинским РО ОГПУ.
598;Арестован Пугачёвским ОО ОГПУ по НВК.
599;Арестована Нейвальтерским РО УНКВД.
600;Арестован Безымянским РО УНКВД.
601;Арестован Хвалынским РО УГБ.
602;Арестован Воскресенским РО НКВД.
603;Арестован Красно- ярским РО ОГПУ.
604;Арестован Родничковским РО УНКВД.
605;Арестован Духовницким РО НКВД.
606;Арестован 00 ОГПУ.
607;Арестован ОТО НКВД ст. Ершов РУж.д.
608;Арестована Перелюбским РО НКВД.
609;Арестована НКВД РУж.д. ст. Балашов.
610;Арестован Балтайским РА ОГПУ.
611;Арестован СОО при РТЧК.
612;Арестован Золотовским КО УНКВД.
613;Арестован Золотовским РО НКГБ.
614;Арестован УНКВД по Ивановской области.
615;Арестован Новоузен- ским РА ОГПУ.
616;Арестован ОДТО ГУГБ РУж.д.
617;Арестован Вольским РО УНКВД.
618;Арестован Духовницким РО УНКВД.
619;Арестована Романовским РО УНКВД.
620;Арестован Аркадакским ОГПУ.
621;Арестован УНКВД
622;Арестован Романовским ОГПУ.
623;Арестован Романовским РО ОГПУ.
624;Арестован Романовским РО РКМ НКВД.
625;Арестован Романовским РО ПП ОГПУ.
626;Арестован Татищевским РО ОГПУ.
627;Арестован Татищевским РА УНКВД.
628;Арестована Татищевским РО ОГПУ.
629;Арестован Золотовским к/о НКВД.
630;Арестован Перелюбским РА ОГПУ.
631;Арестована Клинцовским РО УНКВД.
632;Арестован Бальцерским к/о НКВД.
633;Арестован УНКВД Саратовской области
634;Арестован ОО НКВД 53 ПС.
635;Арестован Жерновским РО УНКВД.
636;Арестован Турковским РО ОГПУ.
637;Арестован ОГПУ по Хвалынскому району.
638;Арестован Балашовским РО МГБ.
639;Арестован Широко - карамышским РО УНКВД.
640;Арестован Аткарским РА ОГПУ.
641;Арестована Балашовским РО МГБ.
642;Арестована РКМ.
643;Арестован РКМ.
644;Арестован Базарно - Карабулакским РА ОГПУ НВК.
645;Арестован Петровким РО УНКВД.
646;Арестован отделом контрразведки "Смерш" Особой Московской Армии ПВО.
647;Арестован Аркадакским РО ОГПУ.
648;Арестован Ивантеевским РО ОГПУ
649;Арестован ДТО РУ ж.д.
650;Арестован ТО УНКВД РУ ж.д..
651;Арестован Новорепинским РОМ.
652;Арестован Красно - Ярским РО УНКВД.
653;Арестован Родниковским РО УНКВД.
654;Арестован Новоузенским РА ОГПУ.
655;Арестован Александров - Гайским РО УНКВД.
656;Арестован Пугачевским РА ОГПУ.
657;Арестована Балашовским УНКГБ по Саратовской области.
658;Арестован ОО 61 Стрелковой Дивизии.
659;Арестована Дергачевским РО НКВД.
660;Арестован ОДТО ОГПУ станции Балашов.
661;Арестован ОО ОГПУ МВО.
662;Арестован Красно-Кутским к/о НКВД РНП.
663;Арестован Куккусским к/о НКВД.
664;Арестован Куккусским к/о НКВД РНП.
665;Арестован к/о НКВД.
666;Арестован к/о НКВД АССР НП.
667;Арестован к/о НКВД РНП.
668;Арестован к/о УНКВД РНП.
669;Арестован Тамбовским УНКВД.
670;Арестован к/о УГБ РНП.
671;Арестована Вольским РО УГБ НКВД.
672;Арестован Казачкинским РО УНКВД.
673;Арестован Самойловским РА ОГПУ.
674;Арестован ДТО НКВД станции Балашов.
675;Арестован Прокуратурой Базарно - Карабулакского района.
676;Арестован ЗОС УНКВД по Саратовскому краю
677;Арестован Хвалынским Политбюро.
678;Арестована Хвалынским Политбюро.
679;Арестована Александров - Гайским РО УНКВД.
680;Арестован Колпинским ГО ОГПУ.
681;Арестован СПО УГБ УНКВД по Саратовской области.
682;Арестован Вольским ОО ГПУ.
683;Арестована ПП ОГПУ.
684;Арестован Ново - Покровским РО УНКВД.
685;Арестован ОО НКВД Саратовского гарнизона.
